answer,correct,detail,error,extra_terms,idx,kind,missing_terms,numeric_delta,question,score
电池管理系 对应的RPN平均值为 136.80（n=5）。,1,exact_number,,,49,avg,,0.0,项目/功能“电池管理系”的平均RPN是多少？,1
电池管理系 对应的RPN最大值为 240，对应失效模式：电池组过放未报警和未保护,1,exact_set,,,50,max,,,项目/功能“电池管理系”中RPN最高的失效模式是什么？,1
电池管理系 对应的潜在失效模式包括：BMS通信异常，SOC异常，数据采样干扰性大和采样不准确，电池组过充未报警和未保护，电池组过放未报警和未保护,1,exact_set,,,51,mode,,,项目/功能“电池管理系”对应的潜在失效模式有哪些？,1
是。失效模式“BMS通信异常”的潜在失效原因/机理包括：通信线断裂、线路连接错误、受电磁干扰。,1,exact_boolean,,,52,cause,,,失效模式“BMS通信异常”对应的原因是否包含“通信线断裂、线路连接错误、受电磁干扰”？,1
是。失效模式“现场电池组无输出电压”的潜在失效后果包括：电池组无法工作。,1,exact_boolean,,,53,effect,,,失效模式“现场电池组无输出电压”的后果是否为“电池组无法工作”？,1
针对“单体电压过低”，现行预防性设计控制是：设定标准值；现行探测性设计控制是：万用表测量。,1,exact_set,,,54,controls,,,针对失效模式“单体电压过低”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“巡航里程低于额定值”的RPN是168。,1,exact_number,,,55,rpn,,0.0,失效模式“巡航里程低于额定值”的RPN是多少？,1
失效模式“电池箱体进水”的严重度是7。,1,exact_number,,,56,s,,0.0,失效模式“电池箱体进水”的严重度是多少？,1
失效模式“电池箱体进灰尘”的频度数是2。,1,exact_number,,,57,o,,0.0,失效模式“电池箱体进灰尘”的频度数是多少？,1
失效模式“电池组漏液”的探测度数是6。,1,exact_number,,,58,d,,0.0,失效模式“电池组漏液”的探测度数是多少？,1
绝缘注塑件 对应的RPN平均值为 20.00（n=1）。,1,exact_number,,,59,avg,,0.0,项目/功能“绝缘注塑件”的平均RPN是多少？,1
电池壳体 对应的RPN最大值为 108，对应失效模式：电池漏液,1,exact_set,,,60,max,,,项目/功能“电池壳体”中RPN最高的失效模式是什么？,1
电池壳体 对应的潜在失效模式包括：电池漏液，电解液挥发,1,exact_set,,,61,mode,,,项目/功能“电池壳体”对应的潜在失效模式有哪些？,1
是。失效模式“漏电”的潜在失效原因/机理包括：无有效保护措施。,1,exact_boolean,,,62,cause,,,失效模式“漏电”对应的原因是否包含“无有效保护措施”？,1
是。失效模式“过电流”的潜在失效后果包括：安全事故。,1,exact_boolean,,,63,effect,,,失效模式“过电流”的后果是否为“安全事故”？,1
针对“输出不受控制”，文档中未记录现行预防性设计控制和探测性设计控制。,1,exact_set,,,64,controls,,,针对失效模式“输出不受控制”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“高压带电”的RPN是120。,1,exact_number,,,65,rpn,,0.0,失效模式“高压带电”的RPN是多少？,1
失效模式“在负载连接的情况下意外开盖”的严重度是9。,1,exact_number,,,66,s,,0.0,失效模式“在负载连接的情况下意外开盖”的严重度是多少？,1
失效模式“充电时触电”的频度数是2。,1,exact_number,,,67,o,,0.0,失效模式“充电时触电”的频度数是多少？,1
失效模式“电池组整体温度过高”的探测度数是7。,1,exact_number,,,68,d,,0.0,失效模式“电池组整体温度过高”的探测度数是多少？,1
热管理系统 对应的RPN平均值为 128.33（n=6）。,1,exact_number,,,69,avg,,0.0,项目/功能“热管理系统”的平均RPN是多少？,1
热管理系统 对应的RPN最大值为 168，对应失效模式：电池组整体温度过低，电池组整体温度过高,1,exact_set,,,70,max,,,项目/功能“热管理系统”中RPN最高的失效模式是什么？,1
热管理系统 对应的潜在失效模式包括：噪音过大，整体温度高，管理目标无法实现，电池组整体温度过低，电池组整体温度过高，电池间温度一致性差，连接片过热,1,exact_set,,,71,mode,,,项目/功能“热管理系统”对应的潜在失效模式有哪些？,1
是。失效模式“整体温度高，管理目标无法实现”的潜在失效原因/机理包括：环境温度过高。,1,exact_boolean,,,72,cause,,,失效模式“整体温度高，管理目标无法实现”对应的原因是否包含“环境温度过高”？,1
是。失效模式“连接片过热”的潜在失效后果包括：安全事故。,1,exact_boolean,,,73,effect,,,失效模式“连接片过热”的后果是否为“安全事故”？,1
针对“数据采样干扰性大和采样不准确”，现行预防性设计控制是：BMS 控制系统升级；现行探测性设计控制是：老化试验。,1,exact_set,,,74,controls,,,针对失效模式“数据采样干扰性大和采样不准确”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“SOC异常”的RPN是144。,1,exact_number,,,75,rpn,,0.0,失效模式“SOC异常”的RPN是多少？,1
失效模式“电池组过充未报警和未保护”的严重度是10。,1,exact_number,,,76,s,,0.0,失效模式“电池组过充未报警和未保护”的严重度是多少？,1
失效模式“电池组过放未报警和未保护”的频度数是5。,1,exact_number,,,77,o,,0.0,失效模式“电池组过放未报警和未保护”的频度数是多少？,1
失效模式“BMS通信异常”的探测度数是6。,1,exact_number,,,78,d,,0.0,失效模式“BMS通信异常”的探测度数是多少？,1
动力电池 对应的RPN平均值为 133.00（n=3）。,1,exact_number,,,79,avg,,0.0,项目/功能“动力电池”的平均RPN是多少？,1
动力电池 对应的RPN最大值为 168，对应失效模式：单体电压过低，巡航里程低于额定值,1,exact_set,,,80,max,,,项目/功能“动力电池”中RPN最高的失效模式是什么？,1
动力电池 对应的潜在失效模式包括：单体电压过低，巡航里程低于额定值，现场电池组无输出电压,1,exact_set,,,81,mode,,,项目/功能“动力电池”对应的潜在失效模式有哪些？,1
是。失效模式“电池箱体进水”的潜在失效原因/机理包括：电池箱体密封不严。,1,exact_boolean,,,82,cause,,,失效模式“电池箱体进水”对应的原因是否包含“电池箱体密封不严”？,1
是。失效模式“电池箱体进灰尘”的潜在失效后果包括：电子器件失效或损坏、影响电池组散热。,1,exact_boolean,,,83,effect,,,失效模式“电池箱体进灰尘”的后果是否为“电子器件失效或损坏、影响电池组散热”？,1
针对“电池组漏液”，现行预防性设计控制是：未记录；现行探测性设计控制是：整体震动挤压试验。,1,exact_set,,,84,controls,,,针对失效模式“电池组漏液”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“注塑件起火”的RPN是20。,1,exact_number,,,85,rpn,,0.0,失效模式“注塑件起火”的RPN是多少？,1
失效模式“电解液挥发”的严重度是7。,1,exact_number,,,86,s,,0.0,失效模式“电解液挥发”的严重度是多少？,1
失效模式“电池漏液”的频度数是2。,1,exact_number,,,87,o,,0.0,失效模式“电池漏液”的频度数是多少？,1
失效模式“漏电”的探测度数是6。,1,exact_number,,,88,d,,0.0,失效模式“漏电”的探测度数是多少？,1
高压箱 对应的RPN平均值为 103.00（n=6）。,1,exact_number,,,89,avg,,0.0,项目/功能“高压箱”的平均RPN是多少？,1
高压箱 对应的RPN最大值为 180，对应失效模式：输出不受控制,1,exact_set,,,90,max,,,项目/功能“高压箱”中RPN最高的失效模式是什么？,1
高压箱 对应的潜在失效模式包括：充电时触电，在负载连接的情况下意外开盖，漏电，输出不受控制，过电流，高压带电,1,exact_set,,,91,mode,,,项目/功能“高压箱”对应的潜在失效模式有哪些？,1
是。失效模式“在负载连接的情况下意外开盖”的潜在失效原因/机理包括：负载未断开、违规操作。,1,exact_boolean,,,92,cause,,,失效模式“在负载连接的情况下意外开盖”对应的原因是否包含“负载未断开、违规操作”？,1
是。失效模式“充电时触电”的潜在失效后果包括：安全事故。,1,exact_boolean,,,93,effect,,,失效模式“充电时触电”的后果是否为“安全事故”？,1
针对“电池组整体温度过高”，文档中未记录现行预防性设计控制和探测性设计控制。,1,exact_set,,,94,controls,,,针对失效模式“电池组整体温度过高”，现行预防性设计控制和探测性设计控制分别是什么？,1
失效模式“电池组整体温度过低”的RPN是168。,1,exact_number,,,95,rpn,,0.0,失效模式“电池组整体温度过低”的RPN是多少？,1
失效模式“噪音过大”的严重度是3。,1,exact_number,,,96,s,,0.0,失效模式“噪音过大”的严重度是多少？,1
失效模式“电池间温度一致性差”的频度数是5。,1,exact_number,,,97,o,,0.0,失效模式“电池间温度一致性差”的频度数是多少？,1
失效模式“整体温度高，管理目标无法实现”的探测度数是7。,1,exact_number,,,98,d,,0.0,失效模式“整体温度高，管理目标无法实现”的探测度数是多少？,1
热管理系统 对应的RPN平均值为 128.33（n=6）。,1,exact_number,,,99,avg,,0.0,项目/功能“热管理系统”的平均RPN是多少？,1
电池管理系 对应的RPN最大值为 240，对应失效模式：电池组过放未报警和未保护,1,exact_set,,,100,max,,,项目/功能“电池管理系”中RPN最高的失效模式是什么？,1
