record_id,item_process,analysis_level,function,failure_mode,failure_effect,failure_cause,severity,occurrence,prevention_control,ext_temperature_cycle,ext_relative_humidity,ext_steady_temperature,ext_contamination,ext_electrical_stress,ext_location,detection_control,current_control,detection,rpn,action_priority,recommended_action,owner,target_completion_date,action_taken,revised_severity,revised_occurrence,revised_detection,revised_rpn,status,remarks,source_table,source_record_id
H-187-5.2,磷酸铁锂电池,H-187-5,高压箱,['过电流'],['安全事故'],['使用电流高于额定电流不保护'],9.0,2.0,,,,,,,,['BIT机内测试'],,5.0,90.0,,,,,,,,,,,"图号=LSTLDC-GYX-1;功能描述=分配和管理电池系统的高压电能,确保安全传输与保护。",,
H-187-5.3,磷酸铁锂电池,H-187-5,高压箱,['输出不受控制'],['安全事故'],['元器件损坏'],9.0,4.0,,,,,,,,['BIT机内测试'],,5.0,180.0,,['更换损坏器件'],,,,,,,,,"图号=LSTLDC-GYX-1;功能描述=分配和管理电池系统的高压电能,确保安全传输与保护。",,
H-187-5.4,磷酸铁锂电池,H-187-5,高压箱,['高压带电'],['安全事故'],['无有效保护措施'],10.0,2.0,['提高防护等级'],,,,,,,['BIT机内测试'],,6.0,120.0,,,,,,,,,,,"图号=LSTLDC-GYX-1;功能描述=分配和管理电池系统的高压电能,确保安全传输与保护。",,
H-187-5.5,磷酸铁锂电池,H-187-5,高压箱,['在负载连接的情况下意外开盖'],['安全事故'],['负载未断开、违规操作'],9.0,2.0,['提高防护等级'],,,,,,,['BIT机内测试'],,5.0,90.0,,,,,,,,,,,"图号=LSTLDC-GYX-1;功能描述=分配和管理电池系统的高压电能,确保安全传输与保护。",,
H-187-5.6,磷酸铁锂电池,H-187-5,高压箱,['充电时触电'],['安全事故'],['充电时继电器未断开'],9.0,2.0,['提高防护等级'],,,,,,,['BIT机内测试'],,5.0,90.0,,,,,,,,,,,"图号=LSTLDC-GYX-1;功能描述=分配和管理电池系统的高压电能,确保安全传输与保护。",,
H-187-6.1,磷酸铁锂电池,H-187-6,电池管理系,['数据采样干扰性大和采样不准确'],['影响用户使用'],"['电磁干扰', '电路板虚焊或保护电阻损坏']",4.0,6.0,['BMS 控制系统升级'],,,,,,,['BIT机内测试'],,5.0,120.0,,['定期检查和更新BMS系统'],,,,,,,,,"图号=LSTLDC-DCGL-1;功能描述=监控电池状态,均衡充放电,保障安全与寿命。",,
H-187-6.2,磷酸铁锂电池,H-187-6,电池管理系,['SOC异常'],['影响用户使用'],['BMS SOC算法不合理'],4.0,6.0,['更换SOC算法'],,,,,,,['BIT机内测试'],,6.0,144.0,,['定期检查和更新BMS系统'],,,,,,,,,"图号=LSTLDC-DCGL-1;功能描述=监控电池状态,均衡充放电,保障安全与寿命。",,
H-187-6.3,磷酸铁锂电池,H-187-6,电池管理系,['电池组过充未报警和未保护'],['安全事故'],['BMS 控制系统损坏'],10.0,1.0,['BMS 控制系统升级'],,,,,,,['BIT机内测试'],,6.0,60.0,,['定期检查和更新BMS系统'],,,,,,,,,"图号=LSTLDC-DCGL-1;功能描述=监控电池状态,均衡充放电,保障安全与寿命。",,
H-187-6.4,磷酸铁锂电池,H-187-6,电池管理系,['电池组过放未报警和未保护'],['影响电池寿命或永久性损坏'],['BMS 控制系统损坏'],8.0,5.0,['BMS 控制系统升级'],,,,,,,['BIT机内测试'],,6.0,240.0,,['定期检查和更新BMS系统'],,,,,,,,,"图号=LSTLDC-DCGL-1;功能描述=监控电池状态,均衡充放电,保障安全与寿命;说明=原表此行原因/后果列疑似互换,已按语义修正。",,
H-187-6.5,磷酸铁锂电池,H-187-6,电池管理系,['BMS通信异常'],['影响电池工作'],['通信线断裂、线路连接错误、受电磁干扰'],4.0,5.0,,,,,,,,['BIT机内测试'],,6.0,120.0,,['定期检查和更新BMS系统'],,,,,,,,,"图号=LSTLDC-DCGL-1;功能描述=监控电池状态,均衡充放电,保障安全与寿命;说明=原表此行原因/后果列疑似互换,已按语义修正。",,
H-187-7.1,磷酸铁锂电池,H-187-7,热管理系统,['电池组整体温度过高'],['影响电池工作'],['风道设计不合理'],6.0,4.0,,,,,,,,['BIT机内测试'],,7.0,168.0,,['增加散热'],,,,,,,,,"图号=LSTLDC-RGLXT-1;功能描述=调控电池温度,确保安全稳定运行。",,
H-187-7.2,磷酸铁锂电池,H-187-7,热管理系统,['电池组整体温度过低'],['影响电池工作'],['加热系统未工作或设计达不到要求'],6.0,4.0,,,,,,,,['BIT机内测试'],,7.0,168.0,,['更换加热系统'],,,,,,,,,"图号=LSTLDC-RGLXT-1;功能描述=调控电池温度,确保安全稳定运行。",,
H-187-7.3,磷酸铁锂电池,H-187-7,热管理系统,['噪音过大'],['影响乘车环境'],['风扇固定不牢靠或功率过高'],3.0,5.0,,,,,,,,['BIT机内测试'],,8.0,120.0,,['更换风扇'],,,,,,,,,"图号=LSTLDC-RGLXT-1;功能描述=调控电池温度,确保安全稳定运行。",,
H-187-7.4,磷酸铁锂电池,H-187-7,热管理系统,['电池间温度一致性差'],['影响电池工作'],['通风方式不合理'],4.0,5.0,,,,,,,,['BIT机内测试'],,7.0,140.0,,['增加散热'],,,,,,,,,"图号=LSTLDC-RGLXT-1;功能描述=调控电池温度,确保安全稳定运行。",,
H-187-7.5,磷酸铁锂电池,H-187-7,热管理系统,"['整体温度高', '管理目标无法实现']",['影响电池工作'],['环境温度过高'],4.0,3.0,,,,,,,,['BIT机内测试'],,7.0,84.0,,['外部环境降温'],,,,,,,,,"图号=LSTLDC-RGLXT-1;功能描述=调控电池温度,确保安全稳定运行。",,
H-187-7.6,磷酸铁锂电池,H-187-7,热管理系统,['连接片过热'],['安全事故'],['连接片氧化、未压紧防松螺母连接电阻增加、截面积小或材质不纯'],10.0,3.0,,,,,,,,['BIT机内测试'],,3.0,90.0,,['更换连接片或压紧防松螺母'],,,,,,,,,"图号=LSTLDC-RGLXT-1;功能描述=调控电池温度,确保安全稳定运行。",,
