FailureMode;RPN;ProcessStep;FailureEffect;S;FailureCause;O;FailureMeasure;DetectionMeasure;D
Cracks;25.5;Tower / Tower (TO) / Primary steelwork;Failure of the WTG/Major repair campaign/Structure reassessment;3.8;"Environmental condition; Lightning strikes[9]";2.4;-;-;3.0
Cracks;33.33;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;4.0;"Design phase; Lightning strikes damages due to inefficient lightning prevention system [9]";2.4;-;-;3.25
Cracks;23.33;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;4.0;"Manufacturing; Hit by blades due to poor manufacturing quality control [9]";1.5;-;-;2.67
Cracks;26.5;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;4.0;"Maintenance; Hit by blades due to poor maintenance and inspection leading to undetected wear and damage [15]";2.0;-;-;2.67
Cracks;27.0;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;4.25;"due to Operation; Hit by blades due to human error or operational failure [15]";1.5;-;-;3.33
Plastic deformation;25.67;Tower / Tower (TO) / Primary steelwork;Potential collapse;4.0;"Manufacturing; Inadequate quality control during the manufacturing process may create structural weaknesses or defects in the tower, causing plastic deformation over time. [11]";2.25;-;-;3.0
Plastic deformation;18.0;Tower / Tower (TO) / Primary steelwork;Potential collapse;4.4;"Design phase; Plastic deformation due to insufficient yield strength and lack of detailed stress analysis and simulations [13]";2.2;"Operational limits & control strategies for extreme motions; Blade–tower clearance and control optimization for extreme motions; High-fidelity coupled aero-hydro-elastic simulation in design updates";-;2.8
Tower collapse;21.33;Tower / Tower (TO) / Primary steelwork;Failure of whole facility and vast economic loses;5.0;"Operation phase; Mooring system failure can lead to direct tower collapse [1]";1.5;-;-;3.33
Transition piece break;36.5;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower Unit collapse, Floater Unit damage;4.75;"Design; Analysis and calculation fault due to human error [11]";2.5;"Interface redesign to reduce stress concentrations (fillets, radii); High-fidelity coupled analysis of TP–tower–floater interaction; Improve engineering skills";-;3.0
Transition piece break;33.0;Transition piece / Transition Piece (TP) / Primary structure;tension failure (rupture), buckling of the transition piece/ Tower unit damage;4.25;"Operation and Maintenance; Brittle fracture due to extreme environmental temperature, leading to a shift in the ductile-to-brittle transition temperature [16]";2.25;"SHM for TP connections (strain gauges, acoustic emission, bolt preload monitoring); Design requalification for extreme storms (updated metocean; load cases); -";-;3.25
Structural plastic deformation;32.0;Transition piece / Transition Piece (TP) / Primary stucture;Local stress accumulation;4.0;"Operation; Changes in wave spectra can cause increased loads, resonance, and stress concentrations, leading to plastic deformation in offshore wind turbines. [11]";2.5;"SHM for TP connections (strain gauges, acoustic emission, bolt preload monitoring); Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled analysis of TP–tower–floater interaction; -";-;3.0
Cracks;29.0;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower transition piece connections failure / resonance;3.5;"Operation; Cycling loading could cause microstructural changes in the material and eventually lead to fatigue crack initiation [1,15]";2.5;-;-;3.75
Transition piece break;31.0;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower Unit collapse, Floater Unit damage;5.0;"Environmental condition; Design parameters superseded due to climate change [11]";2.0;"High-fidelity coupled analysis of TP–tower–floater interaction; Design requalification for extreme storms (updated metocean; load cases); Improved metocean data measurements";-;2.67
Abnormal vibration;35.25;Transition piece / Transition Piece (TP) / Primary structure & welding;potential tower connections failure;4.25;"Operation; due to unbalanced loads or wind-induced vibrations. [11]";2.75;-;-;3.0
Structural plastic deformation;24.0;Transition piece / Transition Piece (TP) / Primary stucture;Local stress accumulation;3.67;"Installation; During installation, plastic deformation can occur due to processes like welding and bending [1]";2.67;-;-;3.0
Cracks;21.67;Transition piece / Transition Piece (TP) / Primary structure;Tower transition piece connections failure;3.75;"Installation; During Transportation and installation transition piece may be subjected to bending and twisting loads which could lead to fatigue cracks";2.5;-;-;3.25
Cracks;38.0;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower transition piece connections failure/ displacement variations between tower end;4.0;"Environmental Loads; Extreme environmental conditions like hurricanes or storm surges can subject the transition piece to large forces that exceed their design limits [10,11,15]";2.5;"Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates";-;3.0
Cracks;24.67;Transition piece / Transition Piece (TP) / Welding;potential tower connections failure;3.0;"Fabrication; Improper surface preparation before applying a protective coating or performing welding repairs like cleaning the surface with solvent and treating the surface with a rust inhibitor or primer for improving the adhesion can cause corrosion and crack propagation. [15]";3.0;-;-;2.67
Abnormal vibration;24.67;Transition piece / Transition Piece (TP) / Primary structure & welding;potential tower connections failure;4.0;"Maintenance; Misalignments or looseness in the connections between the tower and the foundation or inadequate bracing can cause abnormal vibration in the transition piece [12]";2.33;-;-;2.67
Structural plastic deformation;28.0;Transition piece / Transition Piece (TP) / Primary stucture;Local stress accumulation;3.67;"Maintenance; Plastic deformation can occur due to the application of excessive force or improper handling of the structure. [1]";2.33;-;-;3.0
Cracks;26.0;Transition piece / Transition Piece (TP) / Welding;Tower transition piece connections failure;3.33;"Maintenance; Repairing welding during maintenance can introduce residual stresses, leading to crack initiation [11]";2.67;-;-;3.0
Cracks;23.33;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower transition piece connections failure;3.33;"Maintenance; The transition piece may be subjected to large forces from lifting and handling equipment during maintenance, which are not considered in design assumptions [11]";2.0;-;-;3.67
Cracks;26.0;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower transition piece connections failure/ displacement variations between tower end;3.33;"Installation; Transition piece may be subjected to large forces from wave, wind, and vessel motion during installation. [10]";2.33;-;-;3.33
Transition piece break;25.67;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower Unit collapse, Floater Unit damage;5.0;"Design; Under-designed structure/ Component due to human error/Insufficient environmental data";1.67;"High-fidelity coupled analysis of TP–tower–floater interaction; Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates";-;2.67
Transition piece break;37.5;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower Unit collapse, Floater Unit damage;4.67;"Operation and Maintenance; Undetected defects and poor quality control [11]";1.67;"SHM for TP connections (strain gauges, acoustic emission, bolt preload monitoring); Welding quality assurance and NDT enhancement (phased-array UT)";-;3.33
Cracks;24.0;Transition piece / Transition Piece (TP) / Primary structure & welding;Tower transition piece connections failure;3.33;"Fabrication; Welding and heat treatment could induce fatigue cracks in fabrication process. [1]";2.33;-;-;3.33
Cracks;30.25;Transition piece / Transition Piece (TP) / Welding;Tower transition piece connections failure;3.5;"Maintenance; Welding and heat treatment during maintenance can add more residual stresses and increase the likelihood of fatigue crack in the welds and heat-affected areas. [11]";2.5;-;-;4.0
Cracks;24.67;Transition piece / Transition Piece (TP) / Welding;Tower transition piece connections failure;3.33;"Maintenance; Welding failure due to corrosion without proper maintenance [11]";2.67;-;-;3.0
Cracks;26.67;Transition piece / Transition Piece (TP) / Welding;Tower transition piece connections failure;3.33;"Installation; Welding failure due to poor performance (e.g. overheating, lack of fusion) during installation [1,10,15]";3.0;-;-;3.0
Capsize [11];27.2;Floating support structure / Floating Support structure / All structures;Watertight fault, Potential Floater Unit sinkage;4.57;"Design; Analysis and Calculation fault due to human error";2.29;"Expanded design load cases (including typhoon/hurricane scenarios); Freeboard margin increase and water-tight compartmentalization; Improve engineering skills";-;3.86
Capsize [11];42.71;Floating support structure / Floating Support structure / Primary structure;Project cancellation;5.0;"Design; Analysis and Calculation fault due to human error [11]";1.67;"Expanded design load cases (including typhoon/hurricane scenarios); -; Improved engineering skills";-;3.0
Additional Structures Failures;40.14;Floating support structure / Floating Support structure / Secondary structure;Potential failure;3.43;"Operation; Bilge piping/pumps fail [1,12]";2.86;-;-;3.17
Hit by dropped objects [1,9];24.86;Floating support structure / Floating Support structure / All structures;Damage to the facility, vast economic loses;3.57;"Operation; Biological collision";2.17;-;-;4.14
Structural break [11];25.0;Floating support structure / Floating Support structure / All structures;Structural reassessment;4.33;"Environmental condition; Design parameter superseded due to climate change [11]";1.67;"Expanded design load cases (including typhoon/hurricane scenarios); -";-;3.5
Additional Structures Failures;25.83;Floating support structure / Floating Support structure / Secondary structure;Potential failure;3.83;"Operation; Dynamic umbilical connection/cable fail [1,12]";2.6;"Freeboard margin increase and water-tight compartmentalization; -; Expanded design load cases (including typhoon/hurricane scenarios); Improved cable mechnical design";-;4.0
Cracks [11];30.57;Floating support structure / Floating Support structure / Primary Structure;Structural failure;4.17;"Installation; Excessive fatigue life consumption due to installation/ transportation [19]";2.83;-;-;3.5
Capsize [11];34.5;Floating support structure / Floating Support structure / Primary structure & Welding;Asset damage Energy production loss;4.8;"Environmental condition; Extreme horizontal oscillatory force";1.8;"Expanded design load cases (including typhoon/hurricane scenarios); Operational limits: weather windows, alarm thresholds for motions; Resonance avoidance via structural tuning/damping";-;3.2
Cracks [11];22.67;Floating support structure / Floating Support structure / Primary structure & Welding;Structural failure;4.14;"Operation; Fatigue due to continuous vibrations/resonance [11]";2.86;"Expanded design load cases (including typhoon/hurricane scenarios); Resonance avoidance via structural tuning/damping; High-fidelity coupled aero-hydro-elastic simulation in design updates";-;3.57
Cracks [11];34.0;Floating support structure / Floating Support structure / All structures;Structural failure;3.83;"Design; Fatigue due to underestimation of steel thickness and/or environmental loads";2.5;-;-;3.5
Additional Structures Failures;32.0;Floating support structure / Floating Support structure / Secondary structure;Potential failure;3.86;"Operation; Handrails Corrosion [1,12]";3.0;-;-;2.71
Additional Structures Failures;31.83;Floating support structure / Floating Support structure / Secondary structure;Potential failure of landing platform;4.17;"Operation; Helicopter assistance equipment fail [1,12]";1.83;-;-;2.83
Watertight fault [1];31.2;Floating support structure / Floating Support structure / Secondary structure;Potential Failure/Asset damage Energy production loss;3.83;"Maintenance; Inefficient detection [1]";2.83;-;-;3.33
Floater unit sinkage;26.86;Floating support structure / Floating Support structure / Secondary structure;Potential Failure/Asset damage Energy production loss;4.83;"Design; Insufficient structural strength and cracks on the floater resulting in water ingress to the support structure";1.83;"Ballast redundancy and automated ballast management; Freeboard margin increase and water-tight compartmentalization; Expanded design load cases (including typhoon/hurricane scenarios)";-;3.4
Structural plastic deformation [11];24.17;Floating support structure / Floating Support structure / All structures;Local stress accumulation;4.43;"Operation and Maintenance; Insufficient structural strength due to ship collision";2.0;-;-;3.0
Watertight fault [1];37.2;Floating support structure / Floating Support structure / Secondary structure;Asset damage Energy production loss/reduced stability;4.5;"Maintenance; Insufficient structural strength due to ship collision [11]";2.33;-;-;3.0
Additional Structures Failures;23.5;Floating support structure / Floating Support structure / Secondary structure;Potential failure;3.86;"Operation; Ladders Corrosion [1,12]";2.71;-;-;2.57
Watertight fault [1];30.8;Floating support structure / Floating Support structure / All structures;If these cracks propagate through the wall and lie under water or within the splash zone, then they constitute a risk to the watertightness.;4.0;"Environmental condition; Marine growth under water can add additional weight and stress for the material, which can lead to cracks in the outer hull";2.2;-;-;3.25
Additional Structures Failures;36.5;Floating support structure / Floating Support structure / Secondary structure;Increased risk of collision, potential damage to the floater;4.0;"Operation; Navigation and work lights fail [1,12]";3.0;-;-;2.0
Hit by dropped objects [1,9];31.75;Floating support structure / Floating Support structure / All structures;Damage to the facility, vast economic loses;4.83;"Operation; Plane crush";1.17;-;-;4.67
Additional Structures Failures;41.17;Floating support structure / Floating Support structure / Secondary structure;Potential failure;2.0;"Operation; Sensors for platform monitoring fail [1,12]";3.0;-;-;3.0
Structural break [11];18.8;Floating support structure / Floating Support structure / Secondary structure;Asset damage Energy production loss/reduced stability;4.0;"Operation and Maintenance; Structural component degradation due to corrosion [12]";2.6;-;-;3.25
Structural break [11];36.0;Floating support structure / Floating Support structure / All structures;Watertight fault, Potential Floater Unit sinkage;4.17;"Operation and Maintenance; Structural degradation due to corrosion [11]";2.67;-;-;3.2
Structural break [11];33.4;Floating support structure / Floating Support structure / Primary structure & Welding;Tower collapse;4.67;"Operation; Structure brittle fracture due to extreme environmental temperature";1.33;"Operational limits: weather windows, alarm thresholds for motions; Other- Specify; Expanded design load cases (including typhoon/hurricane scenarios); Better understanding of temperature ranges";-;3.6
Floater unit sinkage;30.8;Floating support structure / Floating Support structure / All structures;Potential Failure/Asset damage Energy production loss;5.0;"Operation; Structures break/collapse due to collision with other FWT";1.33;"Operational limits: weather windows, alarm thresholds for motions; -; Expanded design load cases (including typhoon/hurricane scenarios); Freeboard margin increase and water-tight compartmentalization";-;2.6
Hit by dropped objects [1,9];25.0;Floating support structure / Floating Support structure / All structures;Damage to the facility, vast economic loses;4.83;"Environmental condition; Typhoon can cause failure of the floating unit if it gets hit by dropping objects. (eg. damaged blade)(strong wind/wave)";1.67;"Expanded design load cases (including typhoon/hurricane scenarios); High-fidelity coupled aero-hydro-elastic simulation in design updates; -";-;3.17
Structural break [11];22.4;Floating support structure / Floating Support structure / All structures;Watertight fault, Potential Floater Unit sinkage;4.67;"Design; Underdesigned structure/Component due to insufficient environmental data";2.33;"Expanded design load cases (including typhoon/hurricane scenarios); High-fidelity coupled aero-hydro-elastic simulation in design updates";-;3.0
Structural break [11];19.0;Floating support structure / Floating Support structure / All structures & Welding;Watertight fault, Potential Floater Unit sinkage;4.5;"Maintenance; Undetected defects due to poor quality control";2.33;"Operational limits: weather windows, alarm thresholds for motions; Other- Specify; -; Welding quality assurance and NDT enhancement (phased-array UT)";-;3.6
Watertight fault [1];36.0;Floating support structure / Floating Support structure / Secondary structure & Welding;Reduced stability;3.6;"Manufacturing and Installation; Ventilation heads/Manholes failure due to Manufacturing defect/Welding defect";2.33;-;-;3.6
Cracks [11];31.2;Floating support structure / Floating Support structure / Welding;Watertight fault;3.6;"Manufacturing; Welding failure";3.0;-;-;3.2
Anchor failure [1], [17];34.0;Station keeping / Anchor (AC);Anchor failure;4.2;"Operation; Abnormal working conditions";2.2;"Continuous tension and vibration monitoring; thresholds for intervention; Procedural controls: load management, operational envelopes; Better design by expanded load case matrix including more failure modes; -";-;3.8
Anchor failure [1], [17];34.0;Station keeping / Anchor (AC);Anchor failure;4.2;"Operation; Cyclic degradation";2.2;"Continuous tension and vibration monitoring; thresholds for intervention; Procedural controls: load management, operational envelopes; Better design by expanded load case matrix including more failure modes; -";-;3.8
Failure in buoyancy element;29.25;Station keeping / Mooring Lines (ML) / Buoyancy element;;3.0;Operation;3.0;-;-;3.25
Failure in clump weight;28.5;Station keeping / Mooring Lines (ML) / Clump weight;;3.0;Operation;2.75;-;-;3.5
Fairlead failure [1], [17];30.0;Station keeping / Fairlead (FL);The anchor cannot be dropped and lift;3.8;"Operation; Fairlead fatigue";2.8;"Continuous tension and vibration monitoring; thresholds for intervention; Fairlead geometry improvements and low-wear lining; Optimized chain/wire/rope selection and fatigue margins (design); -";-;3.0
Fairlead failure [1],[17];30.0;Station keeping / Fairlead (FL);The anchor cannot be dropped and lift;3.8;"Operation; Fairlead corrosion";2.8;"Cathodic protection and corrosion monitoring regimes; -";-;3.0
Monitoring system fails;13.5;Station keeping / Monitoring System;Unable to monitor tension in the mooring lines;2.6;Operation;3.2;-;-;2.0
Mooring line breakage [8];28.8;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;4.0;"Manufacturing; Poor splice quality/ workmanship/qualification";2.4;"ROV visual inspections; targeted maintenance on wear zones; Diversity in materials/vendors to reduce common-cause risks; -";-;3.2
Mooring line breakage[8];20.0;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;4.0;"Environmental condition; Abnormal stress due to mooring lines wear caused by unexpected seismic loads/ The tension overpassing the limit value can cause the mooring line to instantaneously break [18]";2.0;"Continuous tension and vibration monitoring; thresholds for intervention; -";-;2.6
Mooring line breakage[8];24.0;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;4.0;"Environmental condition; Mooring lines wear caused by unexpected external damage (from e.g. overtrawling)/particulate ingress/UV light";2.0;"Continuous tension and vibration monitoring; thresholds for intervention; -";-;3.0
Mooring Line Corrosion [1];29.2;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;3.6;"Maintenance; Mooring lines corrosion due to improper maintenance of the corroded components";2.8;"Continuous tension and vibration monitoring; thresholds for intervention; Optimized chain/wire/rope selection and fatigue margins (design); -";-;3.0
Mooring Line Fatigue [1];29.6;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;3.6;"Maintenance; Mooring line fatigue due to Lack of proper maintenance, including inspection, monitoring, and replacement of the mooring lines.";2.8;-;-;3.0
Mooring Line Fatigue [1];31.6;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;3.6;"Operation; Mooring line fatigue due to Improper operational procedures, such as excessive loading, bending or twisting.";3.0;"Continuous tension and vibration monitoring; thresholds for intervention; Optimized chain/wire/rope selection and fatigue margins (design); -";-;3.0
Mooring line wear [1];35.6;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;3.6;"Manufacturing; Mooring lines wear due to poor quality during fabrication";2.8;-;-;3.6
Mooring line wear [1];26.4;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;3.6;"Design; Mooring lines wear due to underestimation of seisemic events during design or due to rope compression not considered";2.0;-;-;3.6
Mooring line wear [1];31.6;Station keeping / Mooring Lines (ML) / Mooring lines;Mooring line strength decrease or broken;3.6;"Operation; Mooring lines wear due to Improper handling, such as excessive tension, bending, or twisting of the mooring lines.";2.4;-;-;3.6
Mooring lines broken [1,3];24.8;Station keeping / Mooring lines (ML) / Mooring lines;Asset not in correct location or position;4.0;"Operation; Transitional chain wear due to repeated loading and unloading cycles over time";2.4;"ROV visual inspections; targeted maintenance on wear zones; Optimized chain/wire/rope selection and fatigue margins (design); Only chain and wire above MSL, keep fiber ropes wet; -";-;2.6
Mooring lines broken [1,3];20.0;Station keeping / Mooring lines (ML) / Mooring lines;Asset not in correct location or position;4.0;"Maintenance; Transitional chain wear due to improper inspection and maintenance";2.0;"ROV visual inspections; targeted maintenance on wear zones; Optimized chain/wire/rope selection and fatigue margins (design); Only chain and wire above MSL, keep fiber ropes wet; -";-;2.6
Mooring lines broken [1,3];22.4;Station keeping / Mooring lines (ML) / Mooring lines;Asset not in correct location or position;4.0;"Operation; Friction chain wear due to significant movement and tension due to the forces of wind, waves";2.2;"ROV visual inspections; targeted maintenance on wear zones; Optimized chain/wire/rope selection and fatigue margins (design); Only chain and wire above MSL, keep fiber ropes wet; -";-;2.6
Mooring lines broken [1,3];28.0;Station keeping / Mooring lines (ML) / Mooring lines;Asset not in correct location or position;4.0;"Operation; Mooring line wear due to hysteretic heating or wet-dry cycling";2.2;"ROV visual inspections; targeted maintenance on wear zones; -";-;3.0
Mooring winch failure [1];21.6;Station keeping / Mooring lines (ML) / Mooring winch;Asset not in correct location or position;4.0;"Design; Mooring winch failure due to understimation of loads during design phase";2.0;-;-;2.8
Mooring winch failure [1];25.6;Station keeping / Mooring lines (ML) / Mooring winch;Asset not in correct location or position;4.0;"Maintenance; Mooring winch failure due to undetected hazard during operation";2.0;"Continuous tension and vibration monitoring; thresholds for intervention; Procedural controls: load management, operational envelopes; -";-;3.2
accelerated mechanical fatigue;30.25;Dynamic cable / Dynamic Cable / Dynamic Cable/;Structural damage - cable composition weakening;4.2;"Design Phase; Underestimation of dynamic conditions - Unexpected contingency scenario ( loss of mooring line ) - unexpected dynamic loads";2.2;"Monitoring: DTS/RTTR, electrical integrity tests, leak detection; Lazy-wave configuration optimization; buoyancy spacing; hang-off upgrades; -";-;3.75
anchoring damages;20.0;Dynamic cable / Dynamic Cable / Dynamic Cable/;Structural integrity damage - extra stress on cables;4.2;"Environmental conditions; Anchor impacts - seabed movement";1.6;-;-;2.4
Cable Damage;32.0;Dynamic cable / Dynamic Cable / Dynamic Cable/;Operational disruption;2.67;"Operation; Mechanical stress - cable motion,Bending and motion";3.0;-;-;3.0
Corrosion of J-tube [6];22.5;Dynamic cable / Dynamic Cable / J-tube;J-tube degradation affecting cable integrity;2.8;"Installation phase; Seawater exposure, environmental conditions due to failure of corrosion protection anodes";2.8;-;-;3.2
Corrosion of J-tube [6];15.0;Dynamic cable / Dynamic Cable / J-tube;J-tube degradation affecting cable integrity;3.2;"Design Phase; Seawater exposure, environmental conditions due to insufficient coating";2.0;"-; Cathodic protection; coating improvements";-;3.4
Crushing or deformation;24.0;Dynamic cable / Dynamic Cable / Dynamic Cable/;Structural damage - cable weakening;3.8;"Design Phase; Excessive mechanical load - equipment interraction";1.8;-;-;3.2
damage and corrosion of mechanical parts;24.0;Dynamic cable / Dynamic Cable / Hang-off;High risk of fault on the cable - total loss of the line Prodution loss on the string;3.2;"Design Phase; Wrong design/execution of the isolation material";1.75;"-; Design review; improved material selection";-;3.5
Debris disturbance;16.0;Dynamic cable / Dynamic Cable / Dynamic Cable/;Cable damage - operational disruption;3.2;"Environmental conditions; Floating debris - marine activities";2.0;"-; Environmental protections; debris management";-;3.2
Detachment;18.5;Dynamic cable / Dynamic Cable / Dynamic Cable/;cable disconnection - water penetration - Power loss;4.4;"Operation; Connector failure - Mechanical stress";2.0;"-; Design review; improved material selection";-;2.4
Failure of end termination [6];25.2;Dynamic cable / Dynamic Cable / Joints and terminations;breakdown of insulation;3.6;"Manufacturing; Poor quality components [6]";2.6;-;-;2.8
Failure of end termination [6];28.6;Dynamic cable / Dynamic Cable / Joints and terminations;breakdown of insulation;3.8;"Manufacturing; Poor quality of insulating fluids [6]";2.6;"-; Design improvements; enhanced termination QA";-;3.2
Failure of end termination [6];27.6;Dynamic cable / Dynamic Cable / Joints and terminations;breakdown of insulation;3.6;"Manufacturing; Quality of workmanship [6]";2.8;-;-;2.8
Failure of fixing clamps;28.0;Dynamic cable / Dynamic Cable / Dynamic Cable/;Cable damage - exposure to elements;3.6;"Operation; Mechanical stress";2.6;-;-;3.0
Failure of insulations;25.6;Dynamic cable / Dynamic Cable / Insulation;Fault in the cable - power disruption;4.4;"Design Phase; Inproper design : need quality insulation materials and protection";2.2;-;-;2.8
Failure of sheath;31.6;Dynamic cable / Dynamic Cable / Sheath;Fault in the cable - exposure to elements;4.2;"Operation; Mechanical and thermal stress";2.4;-;-;3.0
Failure of watertightness;30.2;Dynamic cable / Dynamic Cable / Dynamic Cable/;Reduced or interupted electricity flow;4.2;"Manufacturing; Errors or defects during manufacturing";2.6;"Installation QA/QC: pull-in tension verification, handling procedures; Watertightness assurance: enhanced sealing tests; end termination QA; -";-;3.0
Failure of watertightness;27.8;Dynamic cable / Dynamic Cable / Dynamic Cable/;Reduced or interupted electricity flow;4.2;"Operation; Damage on the cable due to extreme environmental events";2.0;"Watertightness assurance: enhanced sealing tests; end termination QA; -";-;3.6
failures of conductors;25.0;Dynamic cable / Dynamic Cable / Conductor;Electrical faults - loss of production;4.2;"Operation; Internal damage: Problem in insulation material - Electrical overload";2.4;"-; Monitoring (DTS/RTTR, electrical integrity tests)";-;2.4
Fatigue Cracks;35.6;Dynamic cable / Dynamic Cable / Dynamic Cable/;Crack may evolve in a fault of the cable - Cable weakening;4.2;"Operation; Repeated stress cycles - bending motions";2.4;"Monitoring: DTS/RTTR, electrical integrity tests, leak detection; -";-;3.6
Geo-Hazards;32.0;Dynamic cable / Dynamic Cable / Dynamic Cable/;Cable damage, production disruption;4.6;"Design Phase; Unexpected contingency ( earthquake, seabed movement)";1.4;-;-;3.5
Loss of dynamic positioning;26.0;Dynamic cable / Dynamic Cable / Dynamic Cable/;Cables stress;3.4;"Environmental conditions; Dynamic positioning system failure due to excessive environmental conditions";2.6;-;-;3.0
Loss of float bility (water adsorption);24.0;Dynamic cable / Dynamic Cable / Buoyancy modules;;3.5;Operation;2.5;-;-;3.0
material degradation;18.5;Dynamic cable / Dynamic Cable / Dynamic Cable/;Weakening of cable materials - loss of production;4.4;"Design Phase; Underestimation of dynamic conditions - Unexpected contingency scenario ( loss of mooring line )";1.8;"Monitoring: DTS/RTTR, electrical integrity tests, leak detection; -";-;3.0
Mechanical degradation [20];12.0;Dynamic cable / Dynamic Cable / Fiber optic;;2.5;Operation;1.75;-;-;2.5
