FMEA编号,产品,分析层级,项目/功能,潜在失效模式,潜在失效后果,严酷度(S),潜在失效原因/机理,发生度(O),现行预防控制,现行探测控制,可探测度(D),风险优先数(RPN),措施优先级(AP),建议措施,措施状态,措施结果,备注
TP7,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary stucture,Structural plastic deformation,Local stress accumulation,3.67,"Installation; During installation, plastic deformation can occur due to processes like welding and bending [1]",2.67,,,3.0,24.0,,-,,,source_table: Transition piece; source_record_id: 14; remarks: No; -; 16; 32
TP8,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure,Cracks,Tower transition piece connections failure,3.75,Installation; During Transportation and installation transition piece may be subjected to bending and twisting loads which could lead to fatigue cracks,2.5,,,3.25,21.67,,-,,,source_table: Transition piece; source_record_id: 15; remarks: No; -; 15; 30
TP9,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Cracks,Tower transition piece connections failure/ displacement variations between tower end,4.0,"Environmental Loads; Extreme environmental conditions like hurricanes or storm surges can subject the transition piece to large forces that exceed their design limits [10,11,15]",2.5,,,3.0,38.0,,Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates,,,"source_table: Transition piece; source_record_id: 16; remarks: Yes; Strong emphasis on design-basis expansion and improved load modelling. Relevant standards referenced: IEC 61400-3-2, DNV-ST-0119; 16; 80"
TP10,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Welding,Cracks,potential tower connections failure,3.0,Fabrication; Improper surface preparation before applying a protective coating or performing welding repairs like cleaning the surface with solvent and treating the surface with a rust inhibitor or primer for improving the adhesion can cause corrosion and crack propagation. [15],3.0,,,2.67,24.67,,-,,,source_table: Transition piece; source_record_id: 17; remarks: No; -; 18; 36
TP11,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Abnormal vibration,potential tower connections failure,4.0,Maintenance; Misalignments or looseness in the connections between the tower and the foundation or inadequate bracing can cause abnormal vibration in the transition piece [12],2.33,,,2.67,24.67,,-,,,source_table: Transition piece; source_record_id: 18; remarks: No; -; 18; 32
TP12,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary stucture,Structural plastic deformation,Local stress accumulation,3.67,Maintenance; Plastic deformation can occur due to the application of excessive force or improper handling of the structure. [1],2.33,,,3.0,28.0,,-,,,source_table: Transition piece; source_record_id: 19; remarks: No; -; 18; 48
TP13,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Welding,Cracks,Tower transition piece connections failure,3.33,"Maintenance; Repairing welding during maintenance can introduce residual stresses, leading to crack initiation [11]",2.67,,,3.0,26.0,,-,,,source_table: Transition piece; source_record_id: 20; remarks: No; -
TP14,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Cracks,Tower transition piece connections failure,3.33,"Maintenance; The transition piece may be subjected to large forces from lifting and handling equipment during maintenance, which are not considered in design assumptions [11]",2.0,,,3.67,23.33,,-,,,source_table: Transition piece; source_record_id: 21; remarks: No; -; 10; 40
TP15,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Cracks,Tower transition piece connections failure/ displacement variations between tower end,3.33,"Installation; Transition piece may be subjected to large forces from wave, wind, and vessel motion during installation. [10]",2.33,,,3.33,26.0,,-,,,source_table: Transition piece; source_record_id: 22; remarks: No; -; 12; 48
TP16,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Transition piece break,"Tower Unit collapse, Floater Unit damage",5.0,Design; Under-designed structure/ Component due to human error/Insufficient environmental data,1.67,,,2.67,25.67,,High-fidelity coupled analysis of TP–tower–floater interaction; Design requalification for extreme storms (updated metocean; load cases); High-fidelity coupled aero-hydro-elastic simulation in design updates,,,"source_table: Transition piece; source_record_id: 23; remarks: Yes; Experts emphasised the need for sufficient environmental data and updated metocean conditions. Standards referenced: IEC 61400-3-2, DNV-ST-0119.; 18; 32"
TP17,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Transition piece break,"Tower Unit collapse, Floater Unit damage",4.67,Operation and Maintenance; Undetected defects and poor quality control [11],1.67,,,3.33,37.5,,"SHM for TP connections (strain gauges, acoustic emission, bolt preload monitoring); Welding quality assurance and NDT enhancement (phased-array UT)",,,source_table: Transition piece; source_record_id: 24; remarks: Yes; Experts highlighted the need for design-specific QA/QC procedures supported by commercially available inspection systems. Standards referenced :ISO 19902.; 16; 75
TP18,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Primary structure & welding,Cracks,Tower transition piece connections failure,3.33,Fabrication; Welding and heat treatment could induce fatigue cracks in fabrication process. [1],2.33,,,3.33,24.0,,-,,,source_table: Transition piece; source_record_id: 25; remarks: No; -; 20; 32
TP19,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Welding,Cracks,Tower transition piece connections failure,3.5,Maintenance; Welding and heat treatment during maintenance can add more residual stresses and increase the likelihood of fatigue crack in the welds and heat-affected areas. [11],2.5,,,4.0,30.25,,-,,,source_table: Transition piece; source_record_id: 26; remarks: No; -; 20; 45
TP20,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Welding,Cracks,Tower transition piece connections failure,3.33,Maintenance; Welding failure due to corrosion without proper maintenance [11],2.67,,,3.0,24.67,,-,,,source_table: Transition piece; source_record_id: 27; remarks: No; -; 18; 32
TP21,Floating Offshore Wind Array FMEA,Transition piece,Transition piece / Transition Piece (TP) / Welding,Cracks,Tower transition piece connections failure,3.33,"Installation; Welding failure due to poor performance (e.g. overheating, lack of fusion) during installation [1,10,15]",3.0,,,3.0,26.67,,-,,,source_table: Transition piece; source_record_id: 28; remarks: No; -; 20; 36
FF1,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Capsize [11],"Watertight fault, Potential Floater Unit sinkage",4.57,Design; Analysis and Calculation fault due to human error,2.29,,,3.86,27.2,,Expanded design load cases (including typhoon/hurricane scenarios); Freeboard margin increase and water-tight compartmentalization; Improve engineering skills,,,"source_table: Floating support structure; source_record_id: 8; remarks: Yes; Experts emphasised design-basis expansion and structural robustness, with competence-based mitigation also selected. Standards referenced: DNV-RP-C205; Weighted score bands for Floater failure modes range from 1.4 to 3.0, indicating the widest spread among all subsystems. Subsystem shows high variability in expert confidence, driven by the diversity of failure mechanisms and the range of TRLs across mitigation options.; 16; 40"
FF2,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Primary structure,Capsize [11],Project cancellation,5.0,Design; Analysis and Calculation fault due to human error [11],1.67,,,3.0,42.71,,Expanded design load cases (including typhoon/hurricane scenarios); -; Improved engineering skills,,,source_table: Floating support structure; source_record_id: 9; remarks: Yes; Experts emphasised competence-based mitigations and design-basis expansion. Standards referenced: IEC 61400-3-2; 20; 64
FF3,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Additional Structures Failures,Potential failure,3.43,"Operation; Bilge piping/pumps fail [1,12]",2.86,,,3.17,40.14,,-,,,source_table: Floating support structure; source_record_id: 10; remarks: No; -; 15; 80
FF4,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,"Hit by dropped objects [1,9]","Damage to the facility, vast economic loses",3.57,Operation; Biological collision,2.17,,,4.14,24.86,,-,,,source_table: Floating support structure; source_record_id: 11; remarks: No; -; 6; 40
FF5,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Structural break [11],Structural reassessment,4.33,Environmental condition; Design parameter superseded due to climate change [11],1.67,,,3.5,25.0,,Expanded design load cases (including typhoon/hurricane scenarios); -,,,source_table: Floating support structure; source_record_id: 12; remarks: Yes; Experts highlighted changing metocean conditions and the need for updated thresholds. Standards referenced: IEC 61400-3-2; 20; 30
FF6,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Additional Structures Failures,Potential failure,3.83,"Operation; Dynamic umbilical connection/cable fail [1,12]",2.6,,,4.0,25.83,,Freeboard margin increase and water-tight compartmentalization; -; Expanded design load cases (including typhoon/hurricane scenarios); Improved cable mechnical design,,,"source_table: Floating support structure; source_record_id: 13; remarks: Yes; Mitigations span design, operational, and system-level measures. Standards referenced: DNV-RP-C205; 5; 50"
FF7,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Primary Structure,Cracks [11],Structural failure,4.17,Installation; Excessive fatigue life consumption due to installation/ transportation [19],2.83,,,3.5,30.57,,-,,,source_table: Floating support structure; source_record_id: 14; remarks: No; -; 6; 60
FF8,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Primary structure & Welding,Capsize [11],Asset damage Energy production loss,4.8,Environmental condition; Extreme horizontal oscillatory force,1.8,,,3.2,34.5,,"Expanded design load cases (including typhoon/hurricane scenarios); Operational limits: weather windows, alarm thresholds for motions; Resonance avoidance via structural tuning/damping",,,source_table: Floating support structure; source_record_id: 15; remarks: Yes; Experts emphasised control-based mitigations and simulation-driven design updates. Standards referenced: DNV-ST-0119; 12; 48
FF9,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Primary structure & Welding,Cracks [11],Structural failure,4.14,Operation; Fatigue due to continuous vibrations/resonance [11],2.86,,,3.57,22.67,,Expanded design load cases (including typhoon/hurricane scenarios); Resonance avoidance via structural tuning/damping; High-fidelity coupled aero-hydro-elastic simulation in design updates,,,"source_table: Floating support structure; source_record_id: 16; remarks: Yes; Experts selected a mix of design-basis expansion, damping/tuning, and simulation-driven updates. Standards referenced: DNV-ST-0119, IEC 61400-3-2, and VIV considerations.; 6; 40"
FF10,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Cracks [11],Structural failure,3.83,Design; Fatigue due to underestimation of steel thickness and/or environmental loads,2.5,,,3.5,34.0,,-,,,source_table: Floating support structure; source_record_id: 17; remarks: No; -; 18; 48
FF11,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Additional Structures Failures,Potential failure,3.86,"Operation; Handrails Corrosion [1,12]",3.0,,,2.71,32.0,,-,,,source_table: Floating support structure; source_record_id: 18; remarks: No; -; 12; 80
FF12,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Additional Structures Failures,Potential failure of landing platform,4.17,"Operation; Helicopter assistance equipment fail [1,12]",1.83,,,2.83,31.83,,-,,,source_table: Floating support structure; source_record_id: 19; remarks: No; -; 10; 75
FF13,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Watertight fault [1],Potential Failure/Asset damage Energy production loss,3.83,Maintenance; Inefficient detection [1],2.83,,,3.33,31.2,,-,,,source_table: Floating support structure; source_record_id: 20; remarks: No; -; 20; 40
FF14,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Floater unit sinkage,Potential Failure/Asset damage Energy production loss,4.83,Design; Insufficient structural strength and cracks on the floater resulting in water ingress to the support structure,1.83,,,3.4,26.86,,Ballast redundancy and automated ballast management; Freeboard margin increase and water-tight compartmentalization; Expanded design load cases (including typhoon/hurricane scenarios),,,"source_table: Floating support structure; source_record_id: 21; remarks: Yes; Mitigations cluster around ballast management, compartmentalisation, and simulation-driven updates. Standards referenced :DNV-ST-0119.; 8; 50"
FF15,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Structural plastic deformation [11],Local stress accumulation,4.43,Operation and Maintenance; Insufficient structural strength due to ship collision,2.0,,,3.0,24.17,,-,,,source_table: Floating support structure; source_record_id: 22; remarks: No; -; 10; 40
FF16,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Watertight fault [1],Asset damage Energy production loss/reduced stability,4.5,Maintenance; Insufficient structural strength due to ship collision [11],2.33,,,3.0,37.2,,-,,,source_table: Floating support structure; source_record_id: 23; remarks: No; -; 20; 60
FF17,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Additional Structures Failures,Potential failure,3.86,"Operation; Ladders Corrosion [1,12]",2.71,,,2.57,23.5,,-,,,source_table: Floating support structure; source_record_id: 24; remarks: No; -; 10; 40
FF18,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Watertight fault [1],"If these cracks propagate through the wall and lie under water or within the splash zone, then they constitute a risk to the watertightness.",4.0,"Environmental condition; Marine growth under water can add additional weight and stress for the material, which can lead to cracks in the outer hull",2.2,,,3.25,30.8,,-,,,source_table: Floating support structure; source_record_id: 25; remarks: No; -; 18; 48
FF19,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Additional Structures Failures,"Increased risk of collision, potential damage to the floater",4.0,"Operation; Navigation and work lights fail [1,12]",3.0,,,2.0,36.5,,-,,,source_table: Floating support structure; source_record_id: 26; remarks: No; -; 18; 48
FF20,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,"Hit by dropped objects [1,9]","Damage to the facility, vast economic loses",4.83,Operation; Plane crush,1.17,,,4.67,31.75,,-,,,source_table: Floating support structure; source_record_id: 27; remarks: No; -; 24; 40
FF21,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Additional Structures Failures,Potential failure,2.0,"Operation; Sensors for platform monitoring fail [1,12]",3.0,,,3.0,41.17,,-,,,source_table: Floating support structure; source_record_id: 28; remarks: No; -; 24; 75
FF22,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Secondary structure,Structural break [11],Asset damage Energy production loss/reduced stability,4.0,Operation and Maintenance; Structural component degradation due to corrosion [12],2.6,,,3.25,18.8,,-,,,source_table: Floating support structure; source_record_id: 29; remarks: No; -; 6; 40
FF23,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Structural break [11],"Watertight fault, Potential Floater Unit sinkage",4.17,Operation and Maintenance; Structural degradation due to corrosion [11],2.67,,,3.2,36.0,,-,,,source_table: Floating support structure; source_record_id: 30; remarks: No; -; 24; 48
FF24,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / Primary structure & Welding,Structural break [11],Tower collapse,4.67,Operation; Structure brittle fracture due to extreme environmental temperature,1.33,,,3.6,33.4,,"Operational limits: weather windows, alarm thresholds for motions; Other- Specify; Expanded design load cases (including typhoon/hurricane scenarios); Better understanding of temperature ranges",,,"source_table: Floating support structure; source_record_id: 31; remarks: Yes; Experts emphasised temperature monitoring, digital-twin-based control, and competence-based mitigations. Standards referenced: ISO 19901-1; 24; 45"
FF25,Floating Offshore Wind Array FMEA,Floating support structure,Floating support structure / Floating Support structure / All structures,Floater unit sinkage,Potential Failure/Asset damage Energy production loss,5.0,Operation; Structures break/collapse due to collision with other FWT,1.33,,,2.6,30.8,,"Operational limits: weather windows, alarm thresholds for motions; -; Expanded design load cases (including typhoon/hurricane scenarios); Freeboard margin increase and water-tight compartmentalization",,,"source_table: Floating support structure; source_record_id: 32; remarks: Yes; Experts emphasised collision-avoidance, operational thresholds, and compartmentalisation. Standards referenced: IEC 61400-3-2; 8; 50"
