序号,全局序号,消融模型,去除模块,情景类别,题型,来源标签,模块标签,模块标签说明,难度,问题,参考答案,模型回答,是否正确,部分准确率,耗时毫秒,回答路径,上下文精确率,证据召回率,幻觉标记,多跳路径覆盖率,上下文条数,缺失文本项,缺失数值项,命中数值,无证据编号,无证据数值,标准文本项,标准数值项,预期字段,原始行号,错误信息
23,23,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_mode_project,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,在项目/功能“动力电池”里，失效模式“现场电池组无输出电压”的后果是什么？,电池组无法工作,电池组无法工作,正确,1.0,808.29,语义RAG,1.0,1.0,0,,3,,,,,,电池组无法工作,,,0,
24,24,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP002”这条的潜在失效原因/机理是什么？,单节电池容量降低或损坏,单节电池容量降低或损坏。,正确,1.0,496.5,语义RAG,0.6667,1.0,0,,3,,,,,,单节电池容量降低或损坏,,,1,
25,25,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP002”这条的潜在失效后果是什么？,影响用户使用,不知道。,错误,0.0,406.55,语义RAG,0.0,0.0,0,,3,影响用户使用,,,,,影响用户使用,,,1,
26,26,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,rpn_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP002”这条的RPN是多少？,RPN=168.0,不知道。,错误,0.0,279.46,语义RAG,0.0,0.0,0,,3,,168.0,,,,,168.0,RPN,1,
27,27,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,s_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP002”这条的S是多少？,S=7.0,不知道。,错误,0.0,257.01,语义RAG,0.0,1.0,0,,3,,7.0,,,,,7.0,S,1,
28,28,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,o_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP002”这条的O是多少？,O=4.0,这个问题中没有找到FMEA编号为“LFP002”的记录，根据提供的上下文信息，只有编号为“LFP001”，其发生度/O为3。因此无法回答FMEA编号“LFP002”这条的O是多少。,错误,0.0,736.34,语义RAG,0.0,1.0,0,,3,,4.0,,,,,4.0,O,1,
29,29,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,d_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP002”这条的D是多少？,D=6.0,不知道。,错误,0.0,259.79,语义RAG,0.0,0.0,0,,3,,6.0,,,,,6.0,D,1,
30,30,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP002”这条的建议措施是什么？,更换电压过低电池,不知道。,错误,0.0,301.09,语义RAG,0.0,0.0,0,,3,更换电压过低电池,,,,,更换电压过低电池,,RecommendedAction,1,
31,31,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“单体电压过低”对应的潜在失效原因/机理是什么？,单节电池容量降低或损坏,单体电压过低的失效原因是单节电池容量降低或损坏。,正确,1.0,864.58,语义RAG,0.6667,1.0,0,,3,,,,,,单节电池容量降低或损坏,,,1,
32,32,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“单体电压过低”对应的潜在失效后果是什么？,影响用户使用,你提到的失效模式“单体电压过低”不在提供的上下文中出现，因此根据现有信息，我无法回答这个问题。,错误,0.0,660.53,语义RAG,0.0,0.0,0,,3,影响用户使用,,,,,影响用户使用,,,1,
33,33,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,rpn_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“单体电压过低”的RPN是多少？,RPN=168.0,不知道。,错误,0.0,261.44,语义RAG,0.0,0.0,0,,3,,168.0,,,,,168.0,RPN,1,
34,34,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“单体电压过低”对应的建议措施是什么？,更换电压过低电池,不知道。上下文中的失效模式没有包含“单体电压过低”。,错误,0.0,390.47,语义RAG,0.0,0.0,0,,3,更换电压过低电池,,,,,更换电压过低电池,,RecommendedAction,1,
35,35,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“单体电压过低”这个问题，原因讲白一点是什么？,单节电池容量降低或损坏,单节电池容量降低或损坏。,正确,1.0,827.03,语义RAG,0.6667,1.0,0,,3,,,,,,单节电池容量降低或损坏,,,1,
36,36,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“单体电压过低”最后会带来什么后果？,影响用户使用,影响用户使用,正确,1.0,469.07,语义RAG,1.0,1.0,0,,3,,,,,,影响用户使用,,,1,
37,37,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“单体电压过低”一般怎么处理？,更换电压过低电池,建议措施=更换电压过低电池.,正确,1.0,529.47,语义RAG,0.6667,1.0,0,,3,,,,,,更换电压过低电池,,,1,
38,38,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“单体电压过低”的风险最后会体现成什么？,影响用户使用,影响用户使用,正确,1.0,380.99,语义RAG,1.0,1.0,0,,3,,,,,,影响用户使用,,,1,
39,39,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_bool,,M4_证据裁决,证据裁决,简单,FMEA编号“LFP002”对应的原因是否就是“单节电池容量降低或损坏”？,是,是的，FMEA编号“LFP002”对应的原因就是“单节电池容量降低或损坏”。,正确,1.0,636.97,语义RAG,0.6667,0.6667,0,,3,,,,,,,,是/否判断,1,
40,40,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_bool,,M4_证据裁决,证据裁决,简单,FMEA编号“LFP002”对应的后果是否就是“影响用户使用”？,是,不是。FMEA编号“LFP001”对应的失效后果是“电池组无法工作”，而不是“影响用户使用”。,错误,0.0,657.86,语义RAG,0.0,0.0,0,,3,是/否判断,,,,,,,是/否判断,1,
41,41,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,mode_project_bool,,M4_证据裁决,证据裁决,简单,失效模式“单体电压过低”是不是出现在项目/功能“动力电池”里？,是,是的，失效模式“单体电压过低”出现在项目/功能“动力电池”里。,正确,1.0,921.57,语义RAG,1.0,1.0,0,,3,,,,,,,,是/否判断,1,
42,42,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_mode_code,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“单体电压过低”对应的FMEA编号是什么？,LFP002,不知道。,错误,0.0,482.74,语义RAG,0.0,0.0,0,,3,LFP002,,,,,LFP002,,FmeaID,1,
43,43,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_mode_project,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,在项目/功能“动力电池”里，失效模式“单体电压过低”的后果是什么？,影响用户使用,影响用户使用,正确,1.0,775.5,语义RAG,1.0,1.0,0,,3,,,,,,影响用户使用,,,1,
44,44,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP003”这条的潜在失效原因/机理是什么？,电池组单节容量降低或整体过低,BMS SOC算法不合理,错误,0.0,462.69,语义RAG,0.6667,1.0,0,,3,电池组单节容量降低或整体过低,,,,,电池组单节容量降低或整体过低,,,2,
45,45,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP003”这条的潜在失效后果是什么？,影响用户使用,不知道。,错误,0.0,419.41,语义RAG,0.0,0.0,0,,3,影响用户使用,,,,,影响用户使用,,,2,
46,46,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,rpn_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP003”这条的RPN是多少？,RPN=168.0,不知道。,错误,0.0,264.66,语义RAG,0.0,0.0,0,,3,,168.0,,,,,168.0,RPN,2,
47,47,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,s_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP003”这条的S是多少？,S=7.0,不知道。,错误,0.0,263.65,语义RAG,0.0,1.0,0,,3,,7.0,,,,,7.0,S,2,
48,48,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,o_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP003”这条的O是多少？,O=4.0,不知道。,错误,0.0,264.57,语义RAG,0.0,1.0,0,,3,,4.0,,,,,4.0,O,2,
49,49,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,d_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP003”这条的D是多少？,D=6.0,不知道。,错误,0.0,261.39,语义RAG,0.0,0.0,0,,3,,6.0,,,,,6.0,D,2,
50,50,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP003”这条的建议措施是什么？,更换电压过低电池,不知道。,错误,0.0,269.05,语义RAG,0.0,0.0,0,,3,更换电压过低电池,,,,,更换电压过低电池,,RecommendedAction,2,
51,51,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“巡航里程低于额定值”对应的潜在失效原因/机理是什么？,电池组单节容量降低或整体过低,失效模式“巡航里程低于额定值”的潜在失效原因/机理是：电池组单节容量降低或整体过低。,正确,1.0,992.35,语义RAG,0.6667,1.0,0,,3,,,,,,电池组单节容量降低或整体过低,,,2,
52,52,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“巡航里程低于额定值”对应的潜在失效后果是什么？,影响用户使用,影响用户使用,正确,1.0,438.95,语义RAG,0.3333,1.0,0,,3,,,,,,影响用户使用,,,2,
53,53,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,rpn_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“巡航里程低于额定值”的RPN是多少？,RPN=168.0,168,正确,1.0,291.71,语义RAG,0.3333,1.0,0,,3,,,168.0,,,,168.0,RPN,2,
54,54,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“巡航里程低于额定值”对应的建议措施是什么？,更换电压过低电池,更换电压过低电池,正确,1.0,341.08,语义RAG,0.3333,1.0,0,,3,,,,,,更换电压过低电池,,RecommendedAction,2,
55,55,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“巡航里程低于额定值”这个问题，原因讲白一点是什么？,电池组单节容量降低或整体过低,原因是一些单节电池的容量降低了。,错误,0.0,811.52,语义RAG,0.6667,1.0,0,,3,电池组单节容量降低或整体过低,,,,,电池组单节容量降低或整体过低,,,2,
56,56,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“巡航里程低于额定值”最后会带来什么后果？,影响用户使用,影响用户使用,正确,1.0,787.51,语义RAG,1.0,1.0,0,,3,,,,,,影响用户使用,,,2,
57,57,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“巡航里程低于额定值”一般怎么处理？,更换电压过低电池,更换电压过低电池。,正确,1.0,835.73,语义RAG,1.0,1.0,0,,3,,,,,,更换电压过低电池,,,2,
58,58,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_colloquial,,M3_查询理解与语义检索增强,口语化/模糊检索,中等,在项目/功能“动力电池”里，失效模式“巡航里程低于额定值”的风险最后会体现成什么？,影响用户使用,后果=影响用户使用,正确,1.0,309.4,语义RAG,1.0,1.0,0,,3,,,,,,影响用户使用,,,2,
59,59,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_bool,,M4_证据裁决,证据裁决,简单,FMEA编号“LFP003”对应的原因是否就是“电池组单节容量降低或整体过低”？,是,是的，FMEA编号“LFP003”对应的原因就是“电池组单节容量降低或整体过低”。,正确,1.0,662.51,语义RAG,0.6667,0.6667,0,,3,,,,,,,,是/否判断,2,
60,60,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_bool,,M4_证据裁决,证据裁决,简单,FMEA编号“LFP003”对应的后果是否就是“影响用户使用”？,是,不是。FMEA编号“LFP003”对应的后果是“电池组无法工作”。,错误,0.0,595.48,语义RAG,0.0,0.0,0,,3,是/否判断,,,,,,,是/否判断,2,
61,61,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,mode_project_bool,,M4_证据裁决,证据裁决,简单,失效模式“巡航里程低于额定值”是不是出现在项目/功能“动力电池”里？,是,是的，失效模式“巡航里程低于额定值”出现在项目/功能“动力电池”里。,正确,1.0,886.62,语义RAG,1.0,1.0,0,,3,,,,,,,,是/否判断,2,
62,62,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_mode_code,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“巡航里程低于额定值”对应的FMEA编号是什么？,LFP003,LFP003,正确,1.0,490.22,语义RAG,0.3333,1.0,0,,3,,,3.0,,,LFP003,,FmeaID,2,
63,63,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,risk_mode_project,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,在项目/功能“动力电池”里，失效模式“巡航里程低于额定值”的后果是什么？,影响用户使用,影响用户使用,正确,1.0,767.49,语义RAG,1.0,1.0,0,,3,,,,,,影响用户使用,,,2,
64,64,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,project_avg_rpn,,M2_规则推理,规则推理,中等,项目/功能“电池组箱体”的平均RPN是多少？,平均RPN=106.00,108,错误,0.0,727.7,语义RAG,0.3333,0.0,0,,3,,106.0,,,,,106.0,RPN,3,
65,65,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,project_top_mode,,M2_规则推理,规则推理,中等,项目/功能“电池组箱体”里RPN最高的失效模式是什么？,电池箱体进水；RPN=126.0,电池组过放未报警和未保护,错误,0.0,820.71,语义RAG,0.3333,1.0,0,,3,电池箱体进水,126.0,,,,电池箱体进水,126.0,FailureMode；RPN,3,
66,66,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,project_top_effect,,M2_规则推理,规则推理,中等,项目/功能“电池组箱体”里RPN最高的那条，它的后果是什么？,电池短路、电子器件失效或损坏、箱体生锈,影响电池组散热、电子器件失效或损坏、安全事故。,错误,0.0,402.94,语义RAG,0.3333,1.0,0,1.0,3,电池短路、电子器件失效或损坏、箱体生锈,,,,,电池短路、电子器件失效或损坏、箱体生锈,,FailureEffect,3,
67,67,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP004”这条的潜在失效原因/机理是什么？,电池箱体密封不严,电池箱体密封不严,正确,1.0,443.32,语义RAG,0.3333,1.0,0,,3,,,,,,电池箱体密封不严,,,3,
68,68,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP004”这条的潜在失效后果是什么？,电池短路、电子器件失效或损坏、箱体生锈,不知道。,错误,0.0,447.88,语义RAG,0.0,0.0,0,,3,电池短路、电子器件失效或损坏、箱体生锈,,,,,电池短路、电子器件失效或损坏、箱体生锈,,,3,
69,69,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,rpn_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP004”这条的RPN是多少？,RPN=126.0,不知道。,错误,0.0,281.65,语义RAG,0.0,0.0,0,,3,,126.0,,,,,126.0,RPN,3,
70,70,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,s_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP004”这条的S是多少？,S=7.0,不知道。,错误,0.0,291.82,语义RAG,0.0,1.0,0,,3,,7.0,,,,,7.0,S,3,
71,71,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,o_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP004”这条的O是多少？,O=3.0,不知道。,错误,0.0,264.8,语义RAG,0.0,1.0,0,,3,,3.0,,,,,3.0,O,3,
72,72,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,d_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP004”这条的D是多少？,D=6.0,不知道。,错误,0.0,273.86,语义RAG,0.0,0.0,0,,3,,6.0,,,,,6.0,D,3,
73,73,Full-ΣMi残差模型,M1+M2+M3+M4,故障措施推荐类,action_code,,M1_编号直答,CSV直答,简单,FMEA编号“LFP004”这条的建议措施是什么？,现场做防水处理,不知道。,错误,0.0,260.45,语义RAG,0.0,0.0,0,,3,现场做防水处理,,,,,现场做防水处理,,RecommendedAction,3,
74,74,Full-ΣMi残差模型,M1+M2+M3+M4,故障原因诊断类,cause_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“电池箱体进水”对应的潜在失效原因/机理是什么？,电池箱体密封不严,电池箱体密封不严,正确,1.0,795.61,语义RAG,1.0,1.0,0,,3,,,,,,电池箱体密封不严,,,3,
75,75,Full-ΣMi残差模型,M1+M2+M3+M4,风险影响评估类,effect_mode,,M3_查询理解与语义检索增强,口语化/模糊检索,简单,失效模式“电池箱体进水”对应的潜在失效后果是什么？,电池短路、电子器件失效或损坏、箱体生锈,电池短路、电子器件失效或损坏、箱体生锈,正确,1.0,462.97,语义RAG,0.3333,1.0,0,,3,,,,,,电池短路、电子器件失效或损坏、箱体生锈,,,3,
